Whether_in_the_past_year__the_business_or_a_listed_owner_been_convicted_of_a_criminal_offense,false
Whether_the_applicant_or_any_listed_owner_currently_suspended_or_debarred_from_contracting_with_the_Federal_government_or_receiving_Federal_grants_or_loans,false
Whether_like_to_be_considered_for_an_advance_of_up_to_10000,false
Bank_Name,Citibank
Account_Number,765432123
Routing_Number,88888888
Name_of_Individual_Assisted_in_Application_Completion,Jane Doe
Name_of_Company_Assisted_in_Application_Completion,
Phone_Number_of_Company_Assisted_in_Application_Completion,
Address_of_Company_Assisted_in_Application_Completion,
Fee_Charged_or_Agreed_Upon_For_Application_Completion_Assistance,25
Whether_Permission_given_for_SBA_to_Discuss_Any_Portion_of_Application_Representative_Who_Assisted_in_Application_Completion,true
